label,number
adult standards,99
easy listening,90
lounge,95
vocal jazz,85
space age pop,75
swing,85
torch song,59
american folk revival,5
folk,5
american modern classical,10
deep adult standards,93
rock-and-roll,99
rockabilly,99
man's orchestra,90
vocal harmony group,89
exotica,55
laboratorio,55
library music,55
cowboy western,80
doo-wop,97
canadian country,34
canadian pop,84
mellow gold,92
soft rock,34
mambo,74
movie tunes,45
classic soundtrack,52
rhythm and blues,97
big band,64
jazz clarinet,64
tin pan alley,64
nashville sound,91
classic italian pop,70
italian adult pop,70
bubblegum pop,99
sunshine pop,92
novelty,73
soul,85
louisiana blues,82
memphis blues,82
new orleans blues,82
