,score,title,availability,image,link,generos,pais,estreno,tags,fecha,duracion,sinopsis,audio,subtítulos,votos,reparto
0,7,Tokyo Shaking,Disponible hasta el 3 de agosto,https://static.filmin.es/images/media/38475/3/card_0_3_550x310.png,https://www.filmin.es/pelicula/tokyo-shaking,"Drama, Thriller",,15/10/21,"Estreno exclusivo, Cine apocalíptico, Survival Movie, Desastres naturales, Catástrofes, Diseccionando Japón, Tokio, Choque cultural, Burguesía, Mundo laboral, Nuclear, Grandes éxitos en suscripción",2021 , 1h 41min,"El incidente de Fukushima contado desde la perspectiva de una alta ejecutiva francesa trasladada a Tokyo las semanas previas al colapso. Trepidante y fascinante a partes iguales, ""Tokyo Shaking"" plantea los dilemas éticos, políticos y morales que asolaron Japón en 2011.

11 de marzo de 2011. El mayor terremoto que ha experimentado Tokio desencadena el desastre de Fukushima. Alexandra es una alta ejecutiva que acaba de llegar al país procedente de Francia para trabajar en un banco de prestigio. Sin saberlo, ella y su familia se tendrán que enfrentar a una crisis nuclear que tuvo al mundo en vilo.","Francés
Catalán
Español","Español
Catalán",1482 votos,"Karin Viard, Stéphane Bak, Yumi Narita, Philippe Uchan, Jean-François Cayrey, Charlie Dupont, Emilie Gavois-Kahn"
1,7.9,Al descubierto,Disponible hasta el 3 de agosto,https://static.filmin.es/images/media/44979/3/card_0_3_550x310.png,https://www.filmin.es/pelicula/al-descubierto,Drama,Estados Unidos,28/12/22,"1 Globos de Oro, Otros 5 premios o nominaciones, Basada en hechos reales, #MeToo, Cine de Denuncia, Periodismo, Abusos sexuales, Gente del cine, Mundo laboral, Feminismo, Revolución y Denuncia, Escándalo Sexual, Machismo, Cómo funciona Hollywood, Directoras",2022 , 2h 4min,"Drama protagonizado por Carey Mulligan (""Promising Young Woman"") y Zoe Kazan que destapa la investigación de las reporteras del New York Times contra Harvey Weinstein que desencadenó el movimiento #metoo.

En 2017 dos reporteras del New York Times, Megan Twohey y Jodi Kantor, publicaron una investigación periodística sobre los abusos sexuales del famoso productor Harvey Weinstein que desencadenó el movimiento #Metoo en todo el mundo y rompió décadas de silencio sobre el tema de las agresiones sexuales en Hollywood.","Inglés (Original)
Español",Español,143 votos,"Zoe Kazan, Carey Mulligan, Patricia Clarkson, Andre Braugher, Jennifer Ehle, Ashley Judd, Angela Yeoh, Maren Heary, Sean Cullen, Anastasia Barzee"
2,7.2,Maria Chapdelaine,Disponible hasta el 4 de agosto,https://static.filmin.es/images/media/42845/2/card_0_3_550x310.webp,https://www.filmin.es/pelicula/maria-chapdelaine,Drama,Canadá,02/08/22,"1 Le Gala Quebec Cinema, Otros 11 premios o nominaciones, Cine de Época, Drama de Época, Romance de época, Basado en una Novela, Romance, Vida Rural, Declaración de amor, Primer amor, Triángulo amoroso, Matrimonio, Relaciones Familiares",2022 , 2h 32min,"Una joven en la Canadá profunda de principios del siglo XX se enfrenta una difícil decisión: su familia o su futuro.

María Chapdelaine, una joven de 16 años, vive con su familia en un terreno cerca del río Péribonka en el Quebec rural de principios de 1900. Como verdaderos pioneros, la familia Chapdelaine se esfuerza por hacer retroceder el bosque. En un hogar en el que ni siquiera el agotamiento físico puede disminuir el calor de la vida familiar, María se encuentra ante un profundo dilema. François Paradis, un cazador de pieles y leñador de espíritu libre promete a María volver en primavera para casarse con ella, mientras que Lorenzo Surprenant llega a la granja ofreciéndole una existencia cómoda en una ciudad estadounidense.","Francés
Español",Español,35 votos,"Sara Montpetit, Sébastien Ricard, Hélène Florent, Antoine-Olivier Pilon, Emile Schneider, Robert Naylor, Martin Dubreuil, Gabriel Arcand, Gilbert Sicotte, Charlotte St-Martin"
3,7.4,Julia,Disponible hasta el 6 de agosto,https://static.filmin.es/images/media/3926/1/card_0_3_550x310.webp,https://www.filmin.es/pelicula/julia,Thriller,Francia,27/02/09,"1 Festival de Berlín, Otros 6 premios o nominaciones, Thriller Psicológico, Autodestrucción, Assholes, Alcoholismo, Crimen y Delincuencia, Violencia, Secuestro, Amistad entre joven y adulto",2008 , 2h 18min,"Tilda Swinton se convierte en un personaje despreciable en este fascinante thriller reminiscente de ""Gloria"" de John Cassavetes que narra la relación que se establece entre un niño y su secuestradora.

Julia tiene 40 años y es alcohólica, manipuladora, mentirosa e insegura a pesar de su flamante apariencia. Entre tragos de vodka y citas nocturnas, Julia sobrevive a base de pequeños trabajos, pero cada vez está más sola y las únicas atenciones que recibe provienen de su amigo Mitch, que trata de ayudarla aunque ella lo evite. Mientras, el alcohol va reforzando su idea de que la vida le ha repartido malas cartas y que ella no tiene la culpa del desastre en que ésta se ha convertido. Previendo una perdición inminente y tras un encuentro casual con Elena, una mujer mejicana, Julia se convence, movida por el pánico y su delicada situación económica, para cometer un acto violento.","Español
Inglés",Español,318 votos,"Tilda Swinton, Saul Rubinek, Kate del Castillo, Bruno Bichir, Mauricio Moreno, Jude Ciccolella, Gaston Peterson, Kevin Kilner"
4,6.2,Blood Father,Disponible hasta el 6 de agosto,https://static.filmin.es/images/media/16738/3/card_0_3_550x310.webp,https://www.filmin.es/pelicula/blood-father,"Acción, Thriller",Francia,09/09/16,"1 Festival de Cannes, Grandes Estrenos, Día del padre, Narcotráfico, Cine de Persecuciones, Road Movie, Road Movie USA, Humor Negro, Violencia, Relación Padre Hijo, Motos",2016 , 1h 24min,"Un thriller enérgico y rabioso que se muestra diestro coreografiando secuencias de acción y acumulando tensión antes de desatar la furia. Mel Gibson vuelve a su mejor versión.

Después de que su novio traficante de drogas le tienda una trampa tras robar una fortuna a un cártel, Lydia (Erin Moriarty), una joven de 18 años, se ve obligada a escapar. En su huida, solo encontrará un aliado: su desastroso padre, John Link (Mel Gibson), un borracho, ex convicto que desea ejercer de buen progenitor. Ahora tiene la oportunidad de hacer lo correcto y salvar la vida de su hija, aunque ello ponga en peligro la suya.","Español
Inglés",,299 votos,"Mel Gibson, Erin Moriarty, Diego Luna, William H. Macy, Michael Parks"
5,6.6,Eight for Silver,Disponible hasta el 6 de agosto,https://static.filmin.es/images/media/45299/1/card_0_3_550x310.png,https://www.filmin.es/pelicula/eight-for-silver,Terror,Estados Unidos,,"1 Festival de Sundance, Otros 3 premios o nominaciones, Terror Gótico, Cine de Época, Animales salvajes, Monstruos, Animales Monstruosos, Desapariciones, Brujería, Espíritus",2021 , 1h 47min,"Una regreso al terror clásico dándole una vuelta a los elementos del género: hombres lobo, maldiciones, brujería... Con una ambientación espectacular, esta joya de terror gótico atemoriza a cualquiera.

A finales del siglo XIX, un hombre llega a una aldea remota para investigar el ataque de un animal salvaje, pero descubre una fuerza mucho más grande y siniestra que tiene a la mansión y a sus habitantes sometidos.","Inglés (Original)
Español",Español,28 votos,"Boyd Holbrook, Kelly Reilly, Alistair Petrie, Roxane Duran, Nigel Betts, Stuart Bowman, Simon Kunz, Amelia Crouch"
6,6.1,January,Disponible hasta el 6 de agosto,https://static.filmin.es/images/media/46228/4/card_0_3_550x310.webp,https://www.filmin.es/pelicula/january,"Drama, Thriller",Letonia,,"1 Premios Óscar, Otros 21 premios o nominaciones, AMFF 2023, AMFF 2023 - Sección Oficial, Ambientadas en los años 90, Cine de Denuncia, Unión Soviética, Revolución y Denuncia, Amistad, Grupo de amigos, Comunismo, Found Footage, Autobiográfica, Veinteañeros, Metacine, En las aulas, Basada en hechos reales, Subtítulos en inglés",2022 , 1h 33min,"Candidata por Letonia a los premios Óscar. La película que mejor ensalza al cine como acto de resistencia pacífica. Un drama semiautobiográfico que cuenta las experiencias de un grupo de cineastas adolescentes cuando la Unión Soviética intentó ocupar los países bálticos.

Letonia, 1991. La vida del aspirante a cineasta Jazis, de diecinueve años, y la de sus amigos se ve sumida en el caos cuando son arrastrados a las protestas pacíficas de todo el pueblo letón contra el intento de toma del poder por parte del ejército soviético en su país. Su experiencia y participación en la resistencia no violenta a través de la construcción de barricadas y escudos humanos se convierte en el momento definitivo de su mayoría de edad.",Varios (Original),"Español
Inglés",8 votos,"Karlis Arnolds Avots, Baiba Broka, Rudolfs Cirulis, Alise Danovska, Aleksas Kazanavicius, Sandis Runge, Juhan Ulfsak"
7,8.1,Dalva,Disponible hasta el 6 de agosto,https://static.filmin.es/images/media/46229/8/card_0_3_550x310.png,https://www.filmin.es/pelicula/dalva,Drama,Bélgica,,"1 European Film Awards, Otros 21 premios o nominaciones, AMFF 2023, AMFF 2023 - Sección Oficial, Ópera Prima, Drama Psicológico, Coming of age, Infancia y Adolescencia, Relación Padre Hijo, Abusos a menores, Incesto, Infancia marginal, Teen Angst, Directoras, Subtítulos en inglés",2022 , 1h 25min,"El conmovedor debut de la directora Emmanuelle Nicot, un crudo drama sobre una niña obligada a creerse mujer con tan sólo 12 años. Ha arrasado en festivales como Rotterdam o la Semana de la Crítica del Festival de Cannes.

Aunque Dalva tiene 12 años, se viste, se maquilla y vive como una mujer. Una noche, de repente se la llevan de la casa familiar. Atónita e indignada al principio, luego conoce a Jayden, un trabajador social, y a Samia, una adolescente con mal genio. Una nueva vida parece comenzar para Dalva, la de una niña de su edad.",Francés (Original),"Español
Inglés",463 votos,"Zelda Samson, Alexis Manenti, Fanta Guirassy, Marie Denarnaud, Jean-Louis Coulloc'h, Sandrine Blancke, Maia Sandoz, Charlie Drach, Babetida Sadjo"
8,7.4,Safe Place,Disponible hasta el 6 de agosto,https://static.filmin.es/images/media/46230/2/card_0_3_550x310.png,https://www.filmin.es/pelicula/safe-place,Drama,Croacia,,"1 Premios Óscar, Otros 17 premios o nominaciones, AMFF 2023, AMFF 2023 - Sección Oficial, Basada en hechos reales, Drama Psicológico, Ópera Prima, Suicidio, Salud Mental, Relación entre Hermanos, Autoficción, Actor Director, Relaciones Familiares, Relaciones Sentimentales, Subtítulos en inglés",2022 , 1h 43min,"Candidata al Óscar por Croacia y Mejor Película Internacional en AMFF 2023. Una obra desgarrada que analiza las consecuencias de un suicidio en una familia: dos hermanos, una madre. Triángulo emocional que interpretan unos actores en estado de gracia. La película sobre salud mental más relevante de la temporada.

Un evento traumático - un intento de suicidio - abre una grieta en la existencia cotidiana de una familia. Sus vidas cambian drásticamente, como si estuvieran librando una guerra invisible con todos los demás.",Croata (Original),"Español
Inglés",99 votos,"Juraj Lerotic, Goran Markovic, Snjezana Sinovcic, Damir Klemenic, Biljana Toric, Neven Aljinovic-Tot, Jasmin Mekic, Suncana Zelenika, Mario Knezovic"
9,8.5,Aurora's Sunrise,Disponible hasta el 6 de agosto,https://static.filmin.es/images/media/46231/5/card_0_3_550x310.webp,https://www.filmin.es/pelicula/auroras-sunrise,"Animación, Documental, Biopic",,,"1 Premios Óscar, Otros 13 premios o nominaciones, AMFF 2023, AMFF 2023 - Sección Oficial, Ópera Prima, Biopic de Cine, Biopic Mujeres Extraordinarias, Documental de animación, Documentales sobre Mujeres de referencia, Mezcla Documental / Ficción, Genocidio, Esclavitud, Animación Europea, Animación para Adultos, Gente del cine, Found Footage, Mujeres Guerreras, Cine Mudo, Directoras, Lección de Historia, Subtítulos en inglés",2022 , 1h 36min,"Candidata por Armenia en los Óscar. Una joya animada inspirada por el bello Art Noveau que rescata la increíble historia real de Aurora Mardiganian. Conocida como la Juana de Arco de Armenia fue una mujer que, tras sobrevivir de forma milagrosa a la masacre del Genocidio Armenio y vivir las situaciones más inimaginables, terminó codeándose con el star system del Hollywood mudo mientras denunciaba el infierno que se vivía en su país.

Una superviviente del genocidio se convierte en una estrella del cine mudo: la odisea de Aurora Mardiganian es casi irreal. Después de perder a su familia, escapar de la esclavitud y soportar la codicia de Hollywood. Ella viaja lejos para contarle al mundo sobre el Genocidio Armenio.",Varios (Original),"Español
Inglés",90 votos,"Aurora Mardiganian, Anzhelika Hakobyan"
